Year,County,Gender,Race,Population_age_10-17,Poverty_rate_age_12-17
2018,Amador,Female,Black,3,0.0
2018,Amador,Female,Latinx,230,0.1095890410958904
2018,Amador,Female,White,906,0.0857580398162327
2018,Amador,Male,Asian/other,129,0.0
2018,Amador,Male,Black,8,0.0
2018,Amador,Male,Latinx,280,0.3297872340425531
2018,Amador,Male,White,1032,0.1799410029498525
2018,Butte,Female,Asian/other,1373,0.1249311041704942
2018,Butte,Female,Black,179,0.0218978102189781
2018,Butte,Female,Latinx,2511,0.2744270205066345
2018,Butte,Female,White,6552,0.1671878758720231
2018,Butte,Male,Asian/other,1730,0.2657276995305164
2018,Butte,Male,Black,186,0.2253521126760563
2018,Butte,Male,Latinx,2532,0.1931878658861096
2018,Butte,Male,White,6686,0.1505688155253178
2018,Calaveras,Female,Asian/other,108,0.2676056338028169
2018,Calaveras,Female,Black,10,0.0
2018,Calaveras,Female,Latinx,275,0.495049504950495
2018,Calaveras,Female,White,1328,0.109051254089422
2018,Calaveras,Male,Asian/other,154,0.0
2018,Calaveras,Male,Black,27,0.0
2018,Calaveras,Male,Latinx,328,0.1611570247933884
2018,Calaveras,Male,White,1409,0.1261829652996845
2018,Colusa,Female,Asian/other,55,0.0
2018,Colusa,Female,Black,5,0.0
2018,Colusa,Female,Latinx,933,0.2053824362606232
2018,Colusa,Female,White,307,0.1910112359550561
2018,Colusa,Male,Asian/other,63,0.0
2018,Colusa,Male,Black,14,0.0
2018,Colusa,Male,Latinx,1062,0.2414772727272727
2018,Colusa,Male,White,392,0.1732283464566929
2018,Contra Cost,Female,Asian/other,12504,0.3262239176926189
2018,Contra Cost,Female,Black,5426,0.2878640776699029
2018,Contra Cost,Female,Latinx,20119,0.171787105149286
2018,Contra Cost,Female,White,20457,0.042950218230122
2018,Contra Cost,Male,Asian/other,13293,0.0537362310211372
2018,Contra Cost,Male,Black,5671,0.2200869366277739
2018,Contra Cost,Male,Latinx,21087,0.1602315332500164
2018,Contra Cost,Male,White,21392,0.0512882545058667
2018,Del Norte,Female,Asian/other,271,0.0448717948717948
2018,Del Norte,Female,Black,5,0.0
2018,Del Norte,Female,Latinx,281,0.3346613545816733
2018,Del Norte,Female,White,671,0.2692939244663382
2018,Del Norte,Male,Asian/other,308,1.0
2018,Del Norte,Male,Black,13,0.0
2018,Del Norte,Male,Latinx,312,0.2972972972972973
2018,Del Norte,Male,White,718,0.2805280528052805
2018,El Dorado,Female,Asian/other,916,0.2915057915057915
2018,El Dorado,Female,Black,52,0.2792792792792792
2018,El Dorado,Female,Latinx,1982,0.1317567567567567
2018,El Dorado,Female,White,6429,0.0961454226894437
2018,El Dorado,Male,Asian/other,1045,0.0
2018,El Dorado,Male,Black,66,0.0363636363636363
2018,El Dorado,Male,Latinx,2276,0.083810888252149
2018,El Dorado,Male,White,7140,0.0716554188169908
2018,Fresno,Female,Asian/other,7545,0.1717257844474761
2018,Fresno,Female,Black,2863,0.414121181772659
