Year,County,Gender,Race,Offense_Category,Count,Age
2017,Trinity,Male,White,Violent,0.0,Juvenile
2017,Tulare,Male,White,Violent,22.0,Juvenile
2017,Tuolumne,Male,White,Violent,4.0,Juvenile
2017,Ventura,Male,White,Violent,37.0,Juvenile
2017,Yolo,Male,White,Violent,9.0,Juvenile
2017,Yuba,Male,White,Violent,19.0,Juvenile
2018,Alameda,Female,Black,Violent,51.0,Juvenile
2018,Alpine,Female,Black,Violent,0.0,Juvenile
2018,Amador,Female,Black,Violent,0.0,Juvenile
2018,Butte,Female,Black,Violent,2.0,Juvenile
2018,Calaveras,Female,Black,Violent,0.0,Juvenile
2018,Colusa,Female,Black,Violent,0.0,Juvenile
2018,Contra Cost,Female,Black,Violent,9.0,Juvenile
